model,lr,bs,wd,env0_in_acc,env0_out_acc,env1_in_acc,env1_out_acc,env0_in_md,env0_out_md,env1_in_md,env1_out_md,env0_in_dp,env0_out_dp,env1_in_dp,env1_out_dp,env0_in_eo,env0_out_eo,env1_in_eo,env1_out_eo,env0_in_auc,env0_out_auc,env1_in_auc,env1_out_auc,epoch,loss,step,step_time
ERM,5e-05,32,0.0,0.520661157,0.5023696682,1.0,0.5719960278,0.0050686598,0.0191758275,0.0877413154,0.0506556034,0.9604899912,0.9966777409,0.8200647953,0.8912079414,0.9352517986,0.987654321,1.0,0.8294979079,0.5268002741,0.5042790698,0.5711024225,0.5537541695,302.24321133,0.0061764224,8000,0.0419425735
ERM,5e-05,32,0.0001,0.5123966942,0.4739336493,1.0,0.5700099305,0.0023947358,0.0557444394,0.0877462626,0.0449076295,0.986259542,0.8714666667,0.8200647953,0.9117000613,0.9230769231,0.8716845878,1.0,0.9160977758,0.5036749935,0.5034418605,0.5683592882,0.5414602157,302.24321133,5.8301e-06,8000,0.0423894792
ERM,5e-05,64,0.0,0.5419126328,0.5402843602,1.0,0.5660377358,0.0674197078,0.0897267759,0.0877474546,0.0585700274,0.8607886535,0.8175872093,0.8200647953,0.8860910229,0.9284210526,0.9202614379,1.0,0.8548894731,0.5366554014,0.5629767442,0.60973294,0.5492001036,604.48642266,1.969e-07,8000,0.076278769
ERM,5e-05,64,0.0001,0.5112160567,0.5450236967,1.0,0.6007944389,0.0990539789,0.0023174882,0.0877451599,0.1134107113,0.825307464,0.9955399809,0.8200647953,0.755210024,0.9258064516,0.9365853659,1.0,0.8274915975,0.5652163638,0.5138604651,0.5631725966,0.5659023932,604.48642266,5.4244e-06,8000,0.0764797797
ERM,0.0001,32,0.0,0.5230224321,0.5213270142,0.9975186104,0.5739821251,0.0069754124,0.022991538,0.0904452503,0.033524394,0.9967466023,0.9769348075,0.8143783942,0.9235975212,0.9059233449,0.9782608696,0.9957035446,0.9181989175,0.5073913454,0.5286511628,0.5623599283,0.5315586645,302.24321133,0.0277263068,8000,0.0418627706
ERM,0.0001,32,0.0001,0.4982290437,0.5355450237,0.9967741935,0.5700099305,0.0244927108,0.0444331467,0.0876663327,0.041312784,0.9641319241,0.9245,0.8191839523,0.8673896499,0.8510638298,0.9765625,0.9970319173,0.9766826923,0.5297367239,0.5239069767,0.5546670886,0.5250453383,302.24321133,0.0241364608,8000,0.0420092692
ERM,0.0001,64,0.0,0.5159386068,0.4881516588,1.0,0.591857001,0.0827133954,0.0955820084,0.0877474546,0.0944564641,0.8554291946,0.8084,0.8200647953,0.7853100216,0.825,0.84375,1.0,0.8232500283,0.5779724907,0.5322790698,0.6039092376,0.5566323391,604.48642266,4.359e-07,8000,0.0764994712
ERM,0.0001,64,0.0001,0.4982290437,0.4834123223,0.5630272953,0.5561072493,0.000533402,0.0018816292,0.0019560754,0.0010485947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5237456574,0.5505116279,0.5342438752,0.5288626575,604.48642266,0.5221254384,8000,0.076400157
Fish,5e-05,32,0.0,0.4675324675,0.4881516588,0.5330024814,0.5143992056,0.0019277632,0.0003143549,0.006659627,0.0052463114,0.973374613,0.8782978723,0.8676697264,0.8898727984,0.9333333333,0.7572115385,0.8553205358,0.8951583981,0.5131992532,0.5053953488,0.5446662205,0.5385172771,0.0,0.7266672254,0,3.1658523083
Fish,5e-05,32,0.0001,0.4675324675,0.4881516588,0.5332506203,0.5143992056,0.0019308031,0.0003204942,0.0066597462,0.0052443743,0.973374613,0.8782978723,0.8668519415,0.8898727984,0.9333333333,0.7572115385,0.8553205358,0.8951583981,0.5131638031,0.5054883721,0.5446732871,0.5385172771,0.0,0.7266672254,0,32.087143659
Fish,5e-05,64,0.0,0.4935064935,0.4454976303,0.5736972705,0.5501489573,0.0014371276,0.003353864,0.0059538782,0.0060029924,0.6849024597,0.8074935401,0.7839167418,0.9312622309,0.875,0.46875,0.7364685004,0.7887029289,0.5095006263,0.523627907,0.5354707015,0.5362503643,0.0,0.7132893205,0,19.889259815
Fish,5e-05,64,0.0001,0.4935064935,0.4454976303,0.5736972705,0.5501489573,0.0014365911,0.0033515692,0.0059545338,0.0059982538,0.6849024597,0.8074935401,0.7839167418,0.9312622309,0.875,0.46875,0.7364685004,0.7887029289,0.5094947179,0.5237209302,0.5354833206,0.5362382201,0.0,0.7132893205,0,18.424694061
Fish,0.0001,32,0.0,0.479338843,0.4976303318,0.5203473945,0.5163853029,0.0052246451,0.0033650398,0.0111857653,0.0097744465,0.9203963191,0.9355787223,0.8656328645,0.8545290134,0.9271929825,0.9526209677,0.8866160692,0.8512353786,0.5301680335,0.5191627907,0.5576517519,0.5503659445,0.0,0.7266672254,0,22.923538446
Fish,0.0001,32,0.0001,0.5419126328,0.5308056872,1.0,0.5680238332,0.0093130767,0.0263876319,0.0877466202,0.0587295592,0.9668854489,0.93568,0.8200647953,0.8741733585,0.8281573499,0.9040178571,1.0,0.9010997149,0.504951197,0.5064186047,0.5714529803,0.5335179248,302.24321133,7.1131e-06,8000,0.6367106266
Fish,0.0001,64,0.0,0.5312868949,0.5639810427,1.0,0.591857001,0.067969501,0.0714220107,0.0877477527,0.0512383282,0.8515752548,0.8588794926,0.8200647953,0.8961864407,0.887628866,0.8608187135,1.0,0.870292887,0.5527261125,0.5410232558,0.6127751463,0.5599315068,604.48642266,1.2133e-06,8000,0.541820013
