metric, step, value
env0_in_accuracy, 1, 0.9861351847648621
env0_in_accuracy, 501, 0.9861351847648621
env0_in_accuracy, 1001, 0.9861351847648621
env0_in_accuracy, 1501, 0.9835355281829834
env0_in_accuracy, 2001, 0.9852686524391174
env0_in_accuracy, 2501, 0.9800693392753601
env0_in_accuracy, 3001, 0.9740034937858582
env0_in_accuracy, 3501, 0.9861351847648621
env0_in_accuracy, 4001, 0.9852686524391174
env0_in_accuracy, 4501, 0.9861351847648621
env0_in_accuracy, 5001, 0.9861351847648621
env0_in_accuracy, 5501, 0.9861351847648621
env0_in_accuracy, 6001, 0.9861351847648621
env0_in_accuracy, 6501, 0.9861351847648621
env0_in_accuracy, 7001, 0.9861351847648621
env0_in_accuracy, 7501, 0.9861351847648621
env0_in_accuracy, 8001, 0.9861351847648621
env0_in_max_difference, 1, 0.0047601014375686646
env0_in_max_difference, 501, 0.0015882793813943863
env0_in_max_difference, 1001, 0.0003724251873791218
env0_in_max_difference, 1501, 0.002753423759713769
env0_in_max_difference, 2001, 0.004233387764543295
env0_in_max_difference, 2501, 0.0032937945798039436
env0_in_max_difference, 3001, 4.176422953605652e-05
env0_in_max_difference, 3501, 0.0007583670085296035
env0_in_max_difference, 4001, 0.0034816081169992685
env0_in_max_difference, 4501, 0.0017599534476175904
env0_in_max_difference, 5001, 0.0011730344267562032
env0_in_max_difference, 5501, 0.0011855809716507792
env0_in_max_difference, 6001, 0.0012512223329395056
env0_in_max_difference, 6501, 0.00122199603356421
env0_in_max_difference, 7001, 0.001340324874036014
env0_in_max_difference, 7501, 0.0012776689836755395
env0_in_max_difference, 8001, 0.001282252254895866
env0_in_demographic_parity, 1, 0.0
env0_in_demographic_parity, 501, 0.0
env0_in_demographic_parity, 1001, 0.0
env0_in_demographic_parity, 1501, 0.0
env0_in_demographic_parity, 2001, 0.0
env0_in_demographic_parity, 2501, 0.7816901206970215
env0_in_demographic_parity, 3001, 0.9594594836235046
env0_in_demographic_parity, 3501, 0.0
env0_in_demographic_parity, 4001, 0.0
env0_in_demographic_parity, 4501, 0.0
env0_in_demographic_parity, 5001, 0.0
env0_in_demographic_parity, 5501, 0.0
env0_in_demographic_parity, 6001, 0.0
env0_in_demographic_parity, 6501, 0.0
env0_in_demographic_parity, 7001, 0.0
env0_in_demographic_parity, 7501, 0.0
env0_in_demographic_parity, 8001, 0.0
env0_in_equalized_odds, 1, 0.0
env0_in_equalized_odds, 501, 0.0
env0_in_equalized_odds, 1001, 0.0
env0_in_equalized_odds, 1501, 0.0
env0_in_equalized_odds, 2001, 0.0
env0_in_equalized_odds, 2501, 0.0
env0_in_equalized_odds, 3001, 0.0
env0_in_equalized_odds, 3501, 0.0
env0_in_equalized_odds, 4001, 0.0
env0_in_equalized_odds, 4501, 0.0
env0_in_equalized_odds, 5001, 0.0
env0_in_equalized_odds, 5501, 0.0
env0_in_equalized_odds, 6001, 0.0
env0_in_equalized_odds, 6501, 0.0
env0_in_equalized_odds, 7001, 0.0
env0_in_equalized_odds, 7501, 0.0
env0_in_equalized_odds, 8001, 0.0
env0_in_auc_score, 1, 0.5456414222717285
env0_in_auc_score, 501, 0.5288891196250916
env0_in_auc_score, 1001, 0.5597830414772034
env0_in_auc_score, 1501, 0.5310588479042053
env0_in_auc_score, 2001, 0.5578860640525818
env0_in_auc_score, 2501, 0.5498477220535278
env0_in_auc_score, 3001, 0.5491244792938232
env0_in_auc_score, 3501, 0.5377680659294128
env0_in_auc_score, 4001, 0.5375365018844604
env0_in_auc_score, 4501, 0.5402962565422058
env0_in_auc_score, 5001, 0.5405183434486389
env0_in_auc_score, 5501, 0.5405468940734863
env0_in_auc_score, 6001, 0.5408514142036438
env0_in_auc_score, 6501, 0.5407720804214478
env0_in_auc_score, 7001, 0.5407879948616028
env0_in_auc_score, 7501, 0.5406008362770081
env0_in_auc_score, 8001, 0.5406198501586914
env1_in_accuracy, 1, 0.9682080745697021
env1_in_accuracy, 501, 0.9797688126564026
env1_in_accuracy, 1001, 1.0
env1_in_accuracy, 1501, 0.9971098303794861
env1_in_accuracy, 2001, 1.0
env1_in_accuracy, 2501, 1.0
env1_in_accuracy, 3001, 1.0
env1_in_accuracy, 3501, 1.0
env1_in_accuracy, 4001, 1.0
env1_in_accuracy, 4501, 1.0
env1_in_accuracy, 5001, 1.0
env1_in_accuracy, 5501, 1.0
env1_in_accuracy, 6001, 1.0
env1_in_accuracy, 6501, 1.0
env1_in_accuracy, 7001, 1.0
env1_in_accuracy, 7501, 1.0
env1_in_accuracy, 8001, 1.0
env1_in_max_difference, 1, 0.005808301270008087
env1_in_max_difference, 501, 0.021643443033099174
env1_in_max_difference, 1001, 0.034436024725437164
env1_in_max_difference, 1501, 0.0315963551402092
env1_in_max_difference, 2001, 0.036740146577358246
env1_in_max_difference, 2501, 0.036440957337617874
env1_in_max_difference, 3001, 0.0357188954949379
env1_in_max_difference, 3501, 0.036833327263593674
env1_in_max_difference, 4001, 0.0368405357003212
env1_in_max_difference, 4501, 0.036852896213531494
env1_in_max_difference, 5001, 0.036853089928627014
env1_in_max_difference, 5501, 0.03685317933559418
env1_in_max_difference, 6001, 0.03685322403907776
env1_in_max_difference, 6501, 0.03685323894023895
env1_in_max_difference, 7001, 0.036853253841400146
env1_in_max_difference, 7501, 0.036853253841400146
env1_in_max_difference, 8001, 0.03685326129198074
env1_in_demographic_parity, 1, 0.0
env1_in_demographic_parity, 501, 0.19330288469791412
env1_in_demographic_parity, 1001, 0.3313763737678528
env1_in_demographic_parity, 1501, 0.38660576939582825
env1_in_demographic_parity, 2001, 0.3313763737678528
env1_in_demographic_parity, 2501, 0.3313763737678528
env1_in_demographic_parity, 3001, 0.3313763737678528
env1_in_demographic_parity, 3501, 0.3313763737678528
env1_in_demographic_parity, 4001, 0.3313763737678528
env1_in_demographic_parity, 4501, 0.3313763737678528
env1_in_demographic_parity, 5001, 0.3313763737678528
env1_in_demographic_parity, 5501, 0.3313763737678528
env1_in_demographic_parity, 6001, 0.3313763737678528
env1_in_demographic_parity, 6501, 0.3313763737678528
env1_in_demographic_parity, 7001, 0.3313763737678528
env1_in_demographic_parity, 7501, 0.3313763737678528
env1_in_demographic_parity, 8001, 0.3313763737678528
